lat,lon,alt,time,HR
37.860769210383296,-122.53599506802857,66.19999694824219,2015-01-30T22:45:10.000Z,77
37.86087733693421,-122.53588266670704,66.80000305175781,2015-01-30T22:45:16.000Z,82
37.86090566776693,-122.53585282713175,66.80000305175781,2015-01-30T22:45:17.000Z,86
37.860960653051734,-122.53579767420888,67.0,2015-01-30T22:45:19.000Z,92
37.86099040880799,-122.53577219322324,67.19999694824219,2015-01-30T22:45:20.000Z,95
37.861062325537205,-122.53572969697416,67.19999694824219,2015-01-30T22:45:21.000Z,98
37.861062325537205,-122.53572969697416,67.19999694824219,2015-01-30T22:45:22.000Z,102
37.86114010959864,-122.53570203669369,67.19999694824219,2015-01-30T22:45:24.000Z,106
37.86121646873653,-122.53567001782358,67.4000015258789,2015-01-30T22:45:25.000Z,109
37.86121646873653,-122.53567001782358,67.5999984741211,2015-01-30T22:45:26.000Z,109
37.86138058640063,-122.53554076887667,67.0,2015-01-30T22:45:31.000Z,109
37.86155316978693,-122.53541545942426,65.80000305175781,2015-01-30T22:45:36.000Z,111
37.86158476956189,-122.53539131954312,65.80000305175781,2015-01-30T22:45:37.000Z,112
37.861682418733835,-122.53531998954713,64.5999984741211,2015-01-30T22:45:40.000Z,114
37.86174712702632,-122.53529358655214,63.599998474121094,2015-01-30T22:45:42.000Z,115
37.8618136793375,-122.53528654575348,62.400001525878906,2015-01-30T22:45:44.000Z,115
37.86201333627105,-122.53537053242326,62.599998474121094,2015-01-30T22:45:50.000Z,118
37.86203152500093,-122.53544772975147,64.0,2015-01-30T22:45:54.000Z,120
37.862004870548844,-122.53553230315447,65.4000015258789,2015-01-30T22:45:57.000Z,121
37.86198592744768,-122.53563137724996,66.4000015258789,2015-01-30T22:46:00.000Z,122
