time,HR
2014-06-11T07:00:00,55
2014-06-11T07:01:00,70
2014-06-11T07:02:00,53
2014-06-11T07:03:00,53
2014-06-11T07:04:00,56
2014-06-11T07:05:00,52
2014-06-11T07:06:00,53
2014-06-11T07:07:00,52
2014-06-11T07:08:00,56
2014-06-11T07:09:00,58
2014-06-11T07:10:00,57
2014-06-11T07:11:00,56
2014-06-11T07:12:00,56
2014-06-11T07:13:00,52
2014-06-11T07:14:00,54
2014-06-11T07:15:00,55
2014-06-11T07:16:00,
2014-06-11T07:17:00,
2014-06-11T07:18:00,
2014-06-11T07:19:00,
2014-06-11T07:20:00,
2014-06-11T07:21:00,
2014-06-11T07:22:00,
2014-06-11T07:23:00,70
2014-06-11T07:24:00,57
2014-06-11T07:25:00,60
2014-06-11T07:26:00,53
